Kowsardb#1401-9-26#18:36:52 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:06:51')"
Kowsardb#1401-9-26#18:36:52 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:06:51')"
Kowsardb#1401-9-26#18:36:59 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:06:59')"
Kowsardb#1401-9-26#18:36:59 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:06:59')"
Kowsardb#1401-9-26#18:37:0 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:06:59')"
Kowsardb#1401-9-26#18:37:0 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:06:59')"
Kowsardb#1401-9-26#18:37:0 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:00')"
Kowsardb#1401-9-26#18:37:1 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:01')"
Kowsardb#1401-9-26#18:37:1 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:01')"
Kowsardb#1401-9-26#18:37:1 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:01')"
Kowsardb#1401-9-26#18:37:1 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:01')"
Kowsardb#1401-9-26#18:37:2 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:02')"
Kowsardb#1401-9-26#18:37:2 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:02')"
Kowsardb#1401-9-26#18:37:2 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:02')"
